datetime,cpu,mem,,avg
Mon Oct 16 13:33:52 GMT 2023,50,157975,,
Mon Oct 16 13:33:53 GMT 2023,50,157866,,
Mon Oct 16 13:33:53 GMT 2023,50,157903,,
Mon Oct 16 13:33:54 GMT 2023,50,157953,,
Mon Oct 16 13:33:55 GMT 2023,50,158000,,
Mon Oct 16 13:33:55 GMT 2023,50,158050,,
Mon Oct 16 13:33:56 GMT 2023,50,158107,,
Mon Oct 16 13:33:57 GMT 2023,50,158157,,
Mon Oct 16 13:33:57 GMT 2023,50,158216,,
Mon Oct 16 13:33:58 GMT 2023,50,158435,,
Mon Oct 16 13:33:59 GMT 2023,50,158340,,
Mon Oct 16 13:33:59 GMT 2023,50,158373,,
Mon Oct 16 13:34:00 GMT 2023,50,158432,,
Mon Oct 16 13:34:01 GMT 2023,50,158482,,
Mon Oct 16 13:34:01 GMT 2023,50,158533,,
Mon Oct 16 13:34:02 GMT 2023,50,158573,,
Mon Oct 16 13:34:03 GMT 2023,50,158646,,
Mon Oct 16 13:34:03 GMT 2023,50,158686,,
Mon Oct 16 13:34:04 GMT 2023,50,158909,,
Mon Oct 16 13:34:05 GMT 2023,50,158813,,
Mon Oct 16 13:34:05 GMT 2023,50,158840,,
Mon Oct 16 13:34:06 GMT 2023,50,158888,,
Mon Oct 16 13:34:07 GMT 2023,50,158913,,
Mon Oct 16 13:34:07 GMT 2023,50,158974,,
Mon Oct 16 13:34:08 GMT 2023,50,159020,,
Mon Oct 16 13:34:09 GMT 2023,50,159079,,
Mon Oct 16 13:34:09 GMT 2023,50,159121,,
Mon Oct 16 13:34:10 GMT 2023,50,159371,,
Mon Oct 16 13:34:11 GMT 2023,50,159293,,
Mon Oct 16 13:34:11 GMT 2023,50,159273,,
Mon Oct 16 13:34:12 GMT 2023,50,159313,,
Mon Oct 16 13:34:13 GMT 2023,50,159385,,
Mon Oct 16 13:34:13 GMT 2023,50,159425,,
Mon Oct 16 13:34:14 GMT 2023,50,159490,,
Mon Oct 16 13:34:15 GMT 2023,50,159527,,
Mon Oct 16 13:34:16 GMT 2023,50,159599,,
Mon Oct 16 13:34:16 GMT 2023,50,159796,,
Mon Oct 16 13:34:17 GMT 2023,50,159668,,
Mon Oct 16 13:34:18 GMT 2023,50,159699,,
Mon Oct 16 13:34:18 GMT 2023,50,159759,,
Mon Oct 16 13:34:19 GMT 2023,50,159808,,
Mon Oct 16 13:34:20 GMT 2023,50,160316,,
Mon Oct 16 13:34:20 GMT 2023,50,160352,,
Mon Oct 16 13:34:21 GMT 2023,50,160398,,
Mon Oct 16 13:34:22 GMT 2023,50,160447,,
Mon Oct 16 13:34:22 GMT 2023,50,160621,,
Mon Oct 16 13:34:23 GMT 2023,50,160598,,
Mon Oct 16 13:34:24 GMT 2023,50,160629,,
Mon Oct 16 13:34:24 GMT 2023,50,160681,,
Mon Oct 16 13:34:25 GMT 2023,50,160725,,
Mon Oct 16 13:34:26 GMT 2023,50,160774,,
Mon Oct 16 13:34:26 GMT 2023,50,160832,,
Mon Oct 16 13:34:27 GMT 2023,50,160882,,
Mon Oct 16 13:34:28 GMT 2023,50,160943,,
Mon Oct 16 13:34:28 GMT 2023,50,161137,,
Mon Oct 16 13:34:29 GMT 2023,50,161069,,
Mon Oct 16 13:34:30 GMT 2023,50,161090,,
Mon Oct 16 13:34:30 GMT 2023,50,161156,,
Mon Oct 16 13:34:31 GMT 2023,50,161184,,
Mon Oct 16 13:34:32 GMT 2023,50,161250,,
Mon Oct 16 13:34:32 GMT 2023,50,161282,,
Mon Oct 16 13:34:33 GMT 2023,50,161349,,
Mon Oct 16 13:34:34 GMT 2023,50,161401,,
Mon Oct 16 13:34:34 GMT 2023,50,161625,,
Mon Oct 16 13:34:35 GMT 2023,50,161535,,
Mon Oct 16 13:34:36 GMT 2023,50,161561,,
Mon Oct 16 13:34:36 GMT 2023,50,161608,,
Mon Oct 16 13:34:37 GMT 2023,50,161664,,
Mon Oct 16 13:34:38 GMT 2023,50,161725,,
Mon Oct 16 13:34:39 GMT 2023,50,161761,,
Mon Oct 16 13:34:39 GMT 2023,50,161813,,
Mon Oct 16 13:34:40 GMT 2023,50,161884,,
Mon Oct 16 13:34:40 GMT 2023,50,161928,,
Mon Oct 16 13:34:41 GMT 2023,50,162128,,
Mon Oct 16 13:34:42 GMT 2023,50,162031,,
Mon Oct 16 13:34:42 GMT 2023,50,162068,,
Mon Oct 16 13:34:43 GMT 2023,50,162121,,
Mon Oct 16 13:34:44 GMT 2023,50,162161,,
Mon Oct 16 13:34:44 GMT 2023,50,162221,,
Mon Oct 16 13:34:45 GMT 2023,50,162272,,
Mon Oct 16 13:34:46 GMT 2023,50,162344,,
Mon Oct 16 13:34:46 GMT 2023,50,162392,,
Mon Oct 16 13:34:47 GMT 2023,50,162459,,
Mon Oct 16 13:34:48 GMT 2023,50,162492,,
Mon Oct 16 13:34:48 GMT 2023,50,162551,,
